Здание ID,Тип здания,Информация о здании,Кол-во организаций,Организации
1384273596,way,{'building': 'yes'},0,
233342784,way,{'building': 'yes'},0,
234236690,way,{'building': 'industrial'},0,
234241368,way,{'building': 'hangar'},0,
234241369,way,{'building': 'hangar'},0,
234241365,way,{'building': 'hangar'},0,
233342789,way,{'building': 'yes'},0,
233342790,way,{'building': 'yes'},0,
234241364,way,{'building': 'hangar'},0,
314367693,way,{'building': 'yes'},0,
314367694,way,{'building': 'yes'},0,
314367695,way,{'building': 'yes'},0,
234237190,way,{'building': 'hangar'},0,
234237240,way,"{'addr:housenumber': '1 с3', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237365,way,"{'addr:housenumber': '1 с2', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237377,way,{'building': 'hangar'},0,
234237648,way,{'building': 'hangar'},0,
234241363,way,{'building': 'hangar'},0,
234241366,way,{'building': 'hangar'},0,
234241367,way,{'building': 'hangar'},0,
234243740,way,{'building': 'hangar'},0,
234243741,way,{'building': 'yes'},0,
234243742,way,{'building': 'hangar'},0,
234243745,way,"{'addr:housenumber': '15', 'addr:street': 'Коммунальный проезд', 'building': 'hangar'}",0,
234243746,way,{'building': 'hangar'},0,
234243747,way,{'building': 'hangar'},0,
234243748,way,{'building': 'hangar'},0,
234243749,way,{'building': 'hangar'},0,
234243752,way,{'building': 'yes'},0,
234243754,way,"{'addr:city': 'Жуковский', 'addr:housenumber': '19', 'addr:street': 'Коммунальный проезд', 'building': 'yes'}",0,
234243755,way,{'building': 'hangar'},0,
234243756,way,{'building': 'yes'},0,
242931944,way,{'building': 'yes'},0,
242931946,way,{'building': 'yes'},0,
242931949,way,{'building': 'yes'},0,
242931950,way,{'building': 'yes'},0,
242934530,way,{'building': 'yes'},0,
242934531,way,{'building': 'yes'},0,
242934532,way,{'building': 'yes'},0,
242934533,way,{'building': 'yes'},0,
242934671,way,{'building': 'yes'},0,
878951452,way,{'building': 'yes'},0,
132572364,way,"{'building': 'yes', 'name': 'ЗАО ""ИНКО"" Проходная'}",0,
233344291,way,"{'addr:housenumber': '22/4 с1', 'addr:postcode': '140180', 'addr:street': 'улица Наркомвод', 'building': 'yes'}",0,
234070173,way,{'building': 'yes'},0,
234237059,way,{'building': 'hangar'},0,
234237060,way,{'building': 'hangar'},0,
234237241,way,"{'addr:housenumber': '1 с1', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237259,way,"{'addr:housenumber': '1 с6', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237501,way,"{'addr:housenumber': '1 с7', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
