id,type,info,orgs_count,orgs
149443397,way,"{'addr:housenumber': '160', 'addr:street': 'Ладожская улица', 'building': 'retail', 'building:levels': '1', 'contact:email': 'karavan@1is2.ru', 'contact:phone': '+7 800 6002789;+7 841 2250530', 'contact:website': 'https://karavan58.ru', 'name': 'Караван', 'opening_hours': '24/7', 'shop': 'supermarket'}",1,"{'type': 'node', 'id': 3778153933, 'lat': 53.2207182, 'lon': 44.8768809, 'tags': {'entrance': 'main'}}"
154535226,way,"{'addr:housenumber': '158', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '18'}",4,"{'type': 'node', 'id': 3778153927, 'lat': 53.2205407, 'lon': 44.8760682, 'tags': {'name': 'Малина', 'shop': 'beauty'}}
{'type': 'node', 'id': 4250906020, 'lat': 53.2204663, 'lon': 44.8756976, 'tags': {'amenity': 'clinic', 'name': 'Поликлиника'}}
{'type': 'node', 'id': 4250906021, 'lat': 53.2203573, 'lon': 44.8757808, 'tags': {'amenity': 'kindergarten', 'name': 'StartGiven', 'note': 'ВЛ: Ульянова, Меркулова 2 эт.'}}
{'type': 'node', 'id': 6159416251, 'lat': 53.2205787, 'lon': 44.8758893, 'tags': {'addr:flats': '1-84', 'entrance': 'staircase', 'ref': '1'}}"
154535228,way,"{'addr:housenumber': '162', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '18'}",4,"{'type': 'node', 'id': 3909371960, 'lat': 53.2210264, 'lon': 44.8772031, 'tags': {'amenity': 'clinic', 'name': 'МедМикс', 'note': 'ВЛ: Аристов'}}
{'type': 'node', 'id': 3909371962, 'lat': 53.2210249, 'lon': 44.8773793, 'tags': {'name': 'Продукты', 'note': 'ВЛ: Пчелинцева', 'shop': 'convenience'}}
{'type': 'node', 'id': 4250906034, 'lat': 53.2212472, 'lon': 44.8773861, 'tags': {'addr:flats': '1-84', 'entrance': 'staircase'}}
{'type': 'node', 'id': 4532350073, 'lat': 53.2211683, 'lon': 44.8774911, 'tags': {'craft': 'brewery', 'name': 'Пиво', 'note': 'ИП: Медведкин'}}"
278868206,way,"{'addr:housenumber': '150', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '10'}",7,"{'type': 'node', 'id': 4471407941, 'lat': 53.220656, 'lon': 44.8742231, 'tags': {'addr:flats': '1-60', 'entrance': 'staircase', 'ref': '1'}}
{'type': 'node', 'id': 4471407942, 'lat': 53.220888, 'lon': 44.8742219, 'tags': {'addr:flats': '61-120', 'entrance': 'staircase', 'ref': '2'}}
{'type': 'node', 'id': 4471407943, 'lat': 53.2211199, 'lon': 44.8742208, 'tags': {'addr:flats': '121-180', 'entrance': 'staircase', 'ref': '3'}}
{'type': 'node', 'id': 4471407944, 'lat': 53.2213519, 'lon': 44.8742196, 'tags': {'addr:flats': '181-239', 'entrance': 'staircase', 'ref': '4'}}
{'type': 'node', 'id': 4471407945, 'lat': 53.2215839, 'lon': 44.8742184, 'tags': {'addr:flats': '240-299', 'entrance': 'staircase', 'ref': '5'}}
{'type': 'node', 'id': 4471407946, 'lat': 53.2217541, 'lon': 44.8744073, 'tags': {'addr:flats': '300-339', 'entrance': 'staircase', 'ref': '6'}}
{'type': 'node', 'id': 4471407947, 'lat': 53.221847, 'lon': 44.8748385, 'tags': {'addr:flats': '340-379', 'entrance': 'staircase', 'ref': '7'}}"
278868208,way,"{'addr:housenumber': '154', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '18'}",2,"{'type': 'node', 'id': 3744207244, 'lat': 53.2205603, 'lon': 44.8745636, 'tags': {'addr:flats': '1-80', 'entrance': 'staircase'}}
{'type': 'node', 'id': 3778153930, 'lat': 53.2205293, 'lon': 44.8745593, 'tags': {'name': 'УК Комфорт', 'note': 'домофон (90)', 'office': 'company'}}"
278868210,way,"{'addr:housenumber': '156', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '10'}",6,"{'type': 'node', 'id': 3744206568, 'lat': 53.2214449, 'lon': 44.8750157, 'tags': {'addr:flats': '1', 'name': 'Ласточка', 'note': 'ИП: МашТоргСервис, ВЛ: Баландина', 'shop': 'convenience'}}
{'type': 'node', 'id': 4288680850, 'lat': 53.2206132, 'lon': 44.8752299, 'tags': {'name': 'СтайлКлуб', 'note': 'ИП: Федорова', 'shop': 'beauty'}}
{'type': 'node', 'id': 4288680865, 'lat': 53.2206413, 'lon': 44.8750045, 'tags': {'addr:flats': '140-199', 'entrance': 'staircase', 'ref': '4'}}
{'type': 'node', 'id': 4288680866, 'lat': 53.2208939, 'lon': 44.875008, 'tags': {'addr:flats': '81-139', 'entrance': 'staircase', 'ref': '3'}}
{'type': 'node', 'id': 4288680868, 'lat': 53.2211465, 'lon': 44.8750116, 'tags': {'addr:flats': '41-80', 'entrance': 'staircase', 'ref': '2'}}
{'type': 'node', 'id': 4288680869, 'lat': 53.2213991, 'lon': 44.8750151, 'tags': {'addr:flats': '2-40', 'entrance': 'staircase', 'ref': '1'}}"
278868211,way,"{'addr:housenumber': '164', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '10'}",4,"{'type': 'node', 'id': 4250906035, 'lat': 53.2213082, 'lon': 44.8763367, 'tags': {'addr:flats': '180-239', 'entrance': 'staircase', 'ref': '4'}}
{'type': 'node', 'id': 4250906036, 'lat': 53.2215451, 'lon': 44.8763371, 'tags': {'addr:flats': '121-179', 'entrance': 'staircase', 'ref': '3'}}
{'type': 'node', 'id': 4250906037, 'lat': 53.221782, 'lon': 44.8763376, 'tags': {'addr:flats': '61-120', 'entrance': 'staircase', 'ref': '2'}}
{'type': 'node', 'id': 4250906038, 'lat': 53.2220189, 'lon': 44.876338, 'tags': {'addr:flats': '1-60', 'entrance': 'staircase', 'ref': '1'}}"
278868213,way,"{'addr:housenumber': '168', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '10'}",4,"{'type': 'node', 'id': 4288680870, 'lat': 53.2220357, 'lon': 44.8752187, 'tags': {'addr:flats': '180-239', 'entrance': 'staircase', 'ref': '4'}}
{'type': 'node', 'id': 4288680872, 'lat': 53.2222923, 'lon': 44.8752201, 'tags': {'addr:flats': '121-179', 'entrance': 'staircase', 'ref': '3'}}
{'type': 'node', 'id': 4288680873, 'lat': 53.222549, 'lon': 44.8752214, 'tags': {'addr:flats': '61-120', 'entrance': 'staircase', 'ref': '2'}}
{'type': 'node', 'id': 4288680874, 'lat': 53.2228056, 'lon': 44.8752228, 'tags': {'addr:flats': '1-60', 'entrance': 'staircase', 'ref': '1'}}"
284468635,way,"{'addr:housenumber': '146А', 'addr:street': 'Ладожская улица', 'building': 'yes', 'building:levels': '3'}",1,"{'type': 'node', 'id': 3878094024, 'lat': 53.2232903, 'lon': 44.8741464, 'tags': {'entrance': 'main'}}"
303774784,way,"{'addr:city': 'Пенза', 'addr:housenumber': '148А', 'addr:postcode': '440071', 'addr:street': 'Ладожская улица', 'building': 'apartments', 'building:levels': '16', 'description': 'Сантехник +7927З649521 Электрик +7906397153З Управляющая (Компания) +79379104З48'}",1,"{'type': 'node', 'id': 4703616734, 'lat': 53.2223985, 'lon': 44.8744166, 'tags': {'addr:flats': '1-128', 'entrance': 'staircase', 'ref': '1'}}"
